Country,Indicator,Value
Botswana,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),81
Botswana,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),19
Botswana,Gross Domestic Product (GDP) per Capita in PPP Int$,"18,616"
Botswana,Government schemes and compulsory contributory health care financing schemes,884
Botswana,Voluntary health care payment schemes,168
Botswana,Household out-of-pocket payment,36
Burkina Faso,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6
Burkina Faso,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),43
Burkina Faso,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),36
Burkina Faso,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),56
Burkina Faso,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),56
Burkina Faso,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),44
Burkina Faso,Gross Domestic Product (GDP) per Capita in PPP Int$,"1,985"
Burkina Faso,Government schemes and compulsory contributory health care financing schemes,443
Burkina Faso,Voluntary health care payment schemes,67
Burkina Faso,Household out-of-pocket payment,285
Burundi,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8
Burundi,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),25
Burundi,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),26
Burundi,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),48
Burundi,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),47
Burundi,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),52
Burundi,Gross Domestic Product (GDP) per Capita in PPP Int$,850
Burundi,Government schemes and compulsory contributory health care financing schemes,128
Burundi,Voluntary health care payment schemes,72
Burundi,Household out-of-pocket payment,69
Cabo Verde Republic of,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5
Cabo Verde Republic of,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),60
Cabo Verde Republic of,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),28
Cabo Verde Republic of,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),67
Cabo Verde Republic of,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),52
Cabo Verde Republic of,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),33
Cabo Verde Republic of,Gross Domestic Product (GDP) per Capita in PPP Int$,"7,454"
Cabo Verde Republic of,Government schemes and compulsory contributory health care financing schemes,71
Cabo Verde Republic of,Voluntary health care payment schemes,5
Cabo Verde Republic of,Household out-of-pocket payment,30
Cameroon,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
Cameroon,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),6
Cameroon,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),76
Cameroon,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),11
Cameroon,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),11
Cameroon,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),89
Cameroon,Gross Domestic Product (GDP) per Capita in PPP Int$,"3,785"
Cameroon,Government schemes and compulsory contributory health care financing schemes,152
Cameroon,Voluntary health care payment schemes,182
Cameroon,Household out-of-pocket payment,"1,032"
Central African Republic,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),11
Central African Republic,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),6
Central African Republic,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),42
Central African Republic,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),13
Central African Republic,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),13
Central African Republic,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),87
Central African Republic,Gross Domestic Product (GDP) per Capita in PPP Int$,882
Central African Republic,Government schemes and compulsory contributory health care financing schemes,34
Central African Republic,Voluntary health care payment schemes,112
Central African Republic,Household out-of-pocket payment,104
Chad,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
Chad,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),17
Chad,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),62
Chad,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),24
Chad,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),24
Chad,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),76
Chad,Gross Domestic Product (GDP) per Capita in PPP Int$,"1,928"
Chad,Government schemes and compulsory contributory health care financing schemes,109
Chad,Voluntary health care payment schemes,63
Chad,Household out-of-pocket payment,280
Comoros,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5
Comoros,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),9
Comoros,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),75
Comoros,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),18
Comoros,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),15
Comoros,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),82
Comoros,Gross Domestic Product (GDP) per Capita in PPP Int$,"2,925"
Comoros,Government schemes and compulsory contributory health care financing schemes,10
Comoros,Voluntary health care payment schemes,4
Comoros,Household out-of-pocket payment,40
Congo,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2
Congo,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),37
Congo,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),52
Congo,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),41
Congo,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),41
Congo,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),59
Congo,Gross Domestic Product (GDP) per Capita in PPP Int$,"5,862"
Congo,Government schemes and compulsory contributory health care financing schemes,103
Congo,Voluntary health care payment schemes,16
Congo,Household out-of-pocket payment,130
Côte d'Ivoire,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
Côte d'Ivoire,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),29
Côte d'Ivoire,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),39
Côte d'Ivoire,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),34
Côte d'Ivoire,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),32
Côte d'Ivoire,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),66
Côte d'Ivoire,Gross Domestic Product (GDP) per Capita in PPP Int$,"4,207"
Côte d'Ivoire,Government schemes and compulsory contributory health care financing schemes,607
Côte d'Ivoire,Voluntary health care payment schemes,485
Côte d'Ivoire,Household out-of-pocket payment,710
Democratic Republic of the Congo,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3
Democratic Republic of the Congo,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),15
Democratic Republic of the Congo,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),42
Democratic Republic of the Congo,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),31
Democratic Republic of the Congo,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),30
Democratic Republic of the Congo,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),69
Democratic Republic of the Congo,Gross Domestic Product (GDP) per Capita in PPP Int$,931
Democratic Republic of the Congo,Government schemes and compulsory contributory health care financing schemes,481
Democratic Republic of the Congo,Voluntary health care payment schemes,428
Democratic Republic of the Congo,Household out-of-pocket payment,648
Equatorial Guinea,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3
Equatorial Guinea,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),20
Equatorial Guinea,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),75
Equatorial Guinea,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),21
Equatorial Guinea,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),20
Equatorial Guinea,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),79
Equatorial Guinea,Gross Domestic Product (GDP) per Capita in PPP Int$,"23,232"
Equatorial Guinea,Government schemes and compulsory contributory health care financing schemes,87
Equatorial Guinea,Voluntary health care payment schemes,15
Equatorial Guinea,Household out-of-pocket payment,310
Eritrea,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
Eritrea,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),16
Eritrea,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),49
Eritrea,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),45
Eritrea,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),45
Eritrea,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),55
Eritrea,Gross Domestic Product (GDP) per Capita in PPP Int$,"1,801"
Eritrea,Government schemes and compulsory contributory health care financing schemes,37
Eritrea,Voluntary health care payment schemes,5
Eritrea,Household out-of-pocket payment,40
Eswatini,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7
Eswatini,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),33
Eswatini,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),11
Eswatini,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),50
Eswatini,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),50
Eswatini,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),50
Eswatini,Gross Domestic Product (GDP) per Capita in PPP Int$,"10,637"
Eswatini,Government schemes and compulsory contributory health care financing schemes,153
Eswatini,Voluntary health care payment schemes,121
Eswatini,Household out-of-pocket payment,35
Ethiopia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3
Ethiopia,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),23
Ethiopia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),35
Ethiopia,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),44
Ethiopia,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),44
Ethiopia,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),56
Ethiopia,Gross Domestic Product (GDP) per Capita in PPP Int$,"2,022"
Ethiopia,Government schemes and compulsory contributory health care financing schemes,"1,163"
Ethiopia,Voluntary health care payment schemes,545
Ethiopia,Household out-of-pocket payment,938
Gabon,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3
Gabon,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),59
Gabon,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),23
Gabon,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),59
Gabon,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),34
Gabon,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),41
Gabon,Gross Domestic Product (GDP) per Capita in PPP Int$,"17,881"
Gabon,Government schemes and compulsory contributory health care financing schemes,272
Gabon,Voluntary health care payment schemes,84
Gabon,Household out-of-pocket payment,107
Gambia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3
Gambia,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),31
Gambia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),29
Gambia,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),31
Gambia,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),31
Gambia,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),69
Gambia,Gross Domestic Product (GDP) per Capita in PPP Int$,"2,612"
Gambia,Government schemes and compulsory contributory health care financing schemes,15
Gambia,Voluntary health care payment schemes,20
Gambia,Household out-of-pocket payment,15
Ghana,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
Ghana,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),39
Ghana,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),38
Ghana,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),45
Ghana,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),33
Ghana,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),55
Ghana,Gross Domestic Product (GDP) per Capita in PPP Int$,"4,747"
Ghana,Government schemes and compulsory contributory health care financing schemes,"1,040"
Ghana,Voluntary health care payment schemes,405
Ghana,Household out-of-pocket payment,874
Guinea,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
Guinea,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),16
Guinea,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),61
Guinea,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),26
Guinea,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),24
Guinea,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),74
Guinea,Gross Domestic Product (GDP) per Capita in PPP Int$,"2,778"
Guinea,Government schemes and compulsory contributory health care financing schemes,123
Guinea,Voluntary health care payment schemes,64
Guinea,Household out-of-pocket payment,288
Guinea-Bissau,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7
Guinea-Bissau,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),9
Guinea-Bissau,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),74
Guinea-Bissau,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),17
Guinea-Bissau,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),16
Guinea-Bissau,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),83
Guinea-Bissau,Gross Domestic Product (GDP) per Capita in PPP Int$,"1,761"
Guinea-Bissau,Government schemes and compulsory contributory health care financing schemes,17
Guinea-Bissau,Voluntary health care payment schemes,8
Guinea-Bissau,Household out-of-pocket payment,74
Kenya,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5
Kenya,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),42
Kenya,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),24
Kenya,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),48
Kenya,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),38
Kenya,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),52
Kenya,Gross Domestic Product (GDP) per Capita in PPP Int$,"3,468"
Kenya,Government schemes and compulsory contributory health care financing schemes,"2,185"
Kenya,Voluntary health care payment schemes,"1,284"
Kenya,Household out-of-pocket payment,"1,073"
Lesotho,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),9
Lesotho,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),58
Lesotho,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),16
Lesotho,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),66
Lesotho,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),66
Lesotho,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),31
Lesotho,Gross Domestic Product (GDP) per Capita in PPP Int$,"3,328"
Lesotho,Government schemes and compulsory contributory health care financing schemes,174
Lesotho,Voluntary health care payment schemes,38
Lesotho,Household out-of-pocket payment,42
Liberia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7
Liberia,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),25
Liberia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),42
Liberia,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),37
Liberia,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),37
Liberia,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),63
Liberia,Gross Domestic Product (GDP) per Capita in PPP Int$,"187,591"
Liberia,Government schemes and compulsory contributory health care financing schemes,82
Liberia,Voluntary health care payment schemes,46
Liberia,Household out-of-pocket payment,91
Madagascar,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5
Madagascar,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),36
Madagascar,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),28
Madagascar,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),43
Madagascar,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),43
Madagascar,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),57
Madagascar,Gross Domestic Product (GDP) per Capita in PPP Int$,"1,651"
Madagascar,Government schemes and compulsory contributory health care financing schemes,250
Madagascar,Voluntary health care payment schemes,166
Madagascar,Household out-of-pocket payment,163
Malawi,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),9
Malawi,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),29
Malawi,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),11
Malawi,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),47
Malawi,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),47
Malawi,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),53
Malawi,Gross Domestic Product (GDP) per Capita in PPP Int$,"1,280"
Malawi,Government schemes and compulsory contributory health care financing schemes,301
Malawi,Voluntary health care payment schemes,271
Malawi,Household out-of-pocket payment,72
Mali,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
Mali,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),28
Mali,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),34
Mali,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),39
Mali,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),31
Mali,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),61
Mali,Gross Domestic Product (GDP) per Capita in PPP Int$,"2,317"
Mali,Government schemes and compulsory contributory health care financing schemes,260
Mali,Voluntary health care payment schemes,181
Mali,Household out-of-pocket payment,226
Mauritania,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5
Mauritania,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),36
Mauritania,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),52
Mauritania,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),42
Mauritania,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),33
Mauritania,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),58
Mauritania,Gross Domestic Product (GDP) per Capita in PPP Int$,"4,151"
Mauritania,Government schemes and compulsory contributory health care financing schemes,101
Mauritania,Voluntary health care payment schemes,14
Mauritania,Household out-of-pocket payment,125
Mauritius,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6
Mauritius,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),43
Mauritius,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),49
Mauritius,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),43
Mauritius,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),43
Mauritius,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),56
Mauritius,Gross Domestic Product (GDP) per Capita in PPP Int$,"23,699"
Mauritius,Government schemes and compulsory contributory health care financing schemes,360
Mauritius,Voluntary health care payment schemes,65
Mauritius,Household out-of-pocket payment,402
Mozambique,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8
Mozambique,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),21
Mozambique,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),10
Mozambique,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),59
Mozambique,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),59
Mozambique,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),41
Mozambique,Gross Domestic Product (GDP) per Capita in PPP Int$,"1,441"
Mozambique,Government schemes and compulsory contributory health care financing schemes,700
Mozambique,Voluntary health care payment schemes,372
Mozambique,Household out-of-pocket payment,115
Namibia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8
Namibia,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),46
Namibia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),8
Namibia,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),48
Namibia,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),48
Namibia,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),52
Namibia,Gross Domestic Product (GDP) per Capita in PPP Int$,"11,102"
Namibia,Government schemes and compulsory contributory health care financing schemes,554
Namibia,Voluntary health care payment schemes,503
Namibia,Household out-of-pocket payment,97
Niger,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7
Niger,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),33
Niger,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),49
Niger,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),43
Niger,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),42
Niger,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),57
Niger,Gross Domestic Product (GDP) per Capita in PPP Int$,"1,063"
Niger,Government schemes and compulsory contributory health care financing schemes,295
Niger,Voluntary health care payment schemes,53
Niger,Household out-of-pocket payment,332
Nigeria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
Nigeria,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),15
Nigeria,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),77
Nigeria,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),15
Nigeria,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),14
Nigeria,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),85
Nigeria,Gross Domestic Product (GDP) per Capita in PPP Int$,"5,990"
Nigeria,Government schemes and compulsory contributory health care financing schemes,"2,489"
Nigeria,Voluntary health care payment schemes,"1,349"
Nigeria,Household out-of-pocket payment,"12,567"
Rwanda,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8
Rwanda,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),31
Rwanda,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),11
Rwanda,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),59
Rwanda,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),43
Rwanda,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),33
Rwanda,Gross Domestic Product (GDP) per Capita in PPP Int$,"2,252"
Rwanda,Government schemes and compulsory contributory health care financing schemes,425
Rwanda,Voluntary health care payment schemes,159
Rwanda,Household out-of-pocket payment,75
Sao Tome and Principe,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6
Sao Tome and Principe,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),44
Sao Tome and Principe,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),15
Sao Tome and Principe,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),50
Sao Tome and Principe,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),50
Sao Tome and Principe,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),50
Sao Tome and Principe,Gross Domestic Product (GDP) per Capita in PPP Int$,"3,414"
Sao Tome and Principe,Government schemes and compulsory contributory health care financing schemes,13
Sao Tome and Principe,Voluntary health care payment schemes,9
Sao Tome and Principe,Household out-of-pocket payment,4
Senegal,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
Senegal,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),24
Senegal,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),56
Senegal,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),35
Senegal,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),31
Senegal,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),65
Senegal,Gross Domestic Product (GDP) per Capita in PPP Int$,"3,680"
Senegal,Government schemes and compulsory contributory health care financing schemes,328
Senegal,Voluntary health care payment schemes,84
Senegal,Household out-of-pocket payment,522
Seychelles,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5
Seychelles,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),74
Seychelles,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),24
Seychelles,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),74
